Year,Ticker,Name,Currency,CurrentAssets,AmortizationGoodwill,AccountsPayable,Assets,AverageShortTermRate,BVPS,CapitalizedSoftware,CommonEquity,Cash,CashDelta,CNI,ContingentLiabilities,COGS,CommonSharesIssued,CommonSharesOutstanding,CommonShareholders,CommonCapital,CapitalizedLeases,DebtSeniorConvertible,DebtSubordinatedConvertible,DebtIssuance,DebtTiedtoPrime,Debt,AccumulatedDepreciation,CashDividends,DividendsCommon,DividendsPreferred,Dividends,EBITDA,EBIT,Employees,DilutedEPS,ForeignExchange,FinancingActivities,Goodwill,GoodwillAmortization,Gain/LossPretax,GrossProfit,InvestmentBankingIncome,InvestedCapital,InterestIncome,Intangibles,InterestCapitalized,Inventories,InvestingActivities,CurrentLiabilities,Liabilities,NI,OperatingIncome,PTI,PPEGross,PPENet,PreferredStock,Provisions,RetainedEarnings,Receivables,Revenue,Sales,SaleofCommonStock,Equity,SaleofProperty,IncomeTaxes,NetDeferredTaxAsset,NetDeferredTaxLiability,IncomeTaxesPayable,IncomeTaxesPaid,IncomeTaxRefund,Taxes,PreferredStockatCarryingValue,WorkingCapital,OperatingExpenses,PrepaidExpenses,RetirementExpenses,RDExpenses,SGA Expenses,StaffExpense,Expense,UnderwritingExpense,DividendsperShare,PriceClose,SIC,Industry,State/Province,WebURL
1998,BHB,Bar Harbor Bankshares,USD,0,0,266.45,392.05,0,27.21,0,46.86,11.51,0,0,0,12.31,1.82,1.72,0,3.64,0,0,0,0,0,37.87,0,0,2.31,0,2.31,13.76,14.7,0,3.84,0,0,0,0,0,22.59,0,84.73,0,0,0,1.13,0,0,345.19,6.61,14.7,9.73,0,0,0,0,36.91,224.98,34.9,34.9,0,46.86,0,0,0,0,0,0,0,3.12,0,0,20.2,0,0,0,7.9,0,0,0,1.34,47.5,6021,National Commercial Banks,ME,www.bhbt.com
1999,BHB,Bar Harbor Bankshares,USD,0,0,281.71,456.81,0,14.36,0,49.15,12.85,0,0,0,14.28,3.64,3.42,0,7.29,0,0,0,0,0,37.04,0,0,2.48,0,2.48,13.73,14.71,0.18,1.81,0,0,0,0,0,23.53,0,86.18,0,0,0,0.06,0,0,407.66,6.23,14.71,9.23,0,0,0,0,39.6,256.9,37.81,37.81,0,49.15,0,0,0,0,0,0,0,3.01,0,0,23.09,0,0,0,8.82,0,0,0,0.72,17.75,6021,National Commercial Banks,ME,www.bhbt.com
2000,BHB,Bar Harbor Bankshares,USD,0,0,278.08,466.23,0,15.28,0,50.51,10.58,0,0,0,18.57,3.64,3.31,0,7.29,0,0,0,0,0,45,0,0,2.55,0,2.55,12.15,13.35,0.18,1.43,0,0,0,0,0,23.83,0,95.51,0,0,0,0.11,0,0,415.72,4.8,13.35,7.22,0,0,0,0,42.78,267.15,42.4,42.4,0,50.51,0,0,0,0,0,0,0,2.42,0,0,29.05,0,0.35,0,10.48,0,0,0,0.76,14.13,6021,National Commercial Banks,ME,www.bhbt.com
2001,BHB,Bar Harbor Bankshares,USD,0,0,291.83,487.2,0,16.13,0,52.54,17.36,0,0,0,17.75,3.64,3.26,0,7.29,0,0,0,0,0,89.9,0,0,2.49,0,2.49,11.04,12.52,0.21,1.07,0,0,0,0,0,23.66,0,142.44,0,0,0,0.05,0,0,434.67,3.51,12.52,5.17,0,0,0,0,45.58,293.8,41.41,41.41,0,52.54,0,0,0,0,0,0,0,1.66,0,0,28.9,0,0.46,0,11.14,0,0,0,0.76,18,6021,National Commercial Banks,ME,www.bhbt.com
2002,BHB,Bar Harbor Bankshares,USD,0,0,322.02,553.82,0,16.93,0,53.84,11.53,0,0,0,13.88,3.64,3.18,0,7.29,0,0,0,0,0,122.56,0,0,2.45,0,2.45,11.89,13.01,0.2,1.4,0,0,0.38,0.05,0,24.89,0,176.39,0,0.38,0,0.08,0,0,499.98,4.57,13.01,6.55,0,0,0,0,48.34,346.56,38.77,38.77,0,53.84,0,0,0,0,0,0,0,1.74,0,0,25.76,0,0.46,0,11.88,0,0,0,0.76,19.3,6021,National Commercial Banks,ME,www.bhbt.com
2003,BHB,Bar Harbor Bankshares,USD,0,0,339.08,583.75,0,17.11,0,53.12,14.2,0,0,0,11.62,3.64,3.1,0,7.29,0,0,0,0,0,127.91,0,0,2.39,0,2.39,12.76,13.87,0.16,1.63,0,0,0.3,0,0,26.3,0,181.02,0,0.3,0,0.04,0,0,530.63,5.21,13.87,7.1,0,0,0,0,49.26,378.13,37.92,37.92,0,53.12,0,0,0,0,0,0,0,1.89,0,0,24.05,0,0.53,0,12.43,0,0,0,0.76,27,6021,National Commercial Banks,ME,www.bhbt.com
2004,BHB,Bar Harbor Bankshares,USD,0,0,398.27,666.81,0,18.2,0,56.04,9.57,-4.9,0,0,11.73,3.64,3.08,0,7.29,0,0,0,35.1,0,117.07,0,2.48,2.48,0,2.48,12.78,14.55,0.16,1.79,0,55.18,3.16,0,0,26.77,0,173.11,0,3.49,0,0,-68.93,0,610.77,5.73,14.55,7.86,0,0,0,0,52.85,443.65,38.49,38.49,0,56.04,0,0,3.19,1.77,0,0.89,0,2.12,0,0,23.95,0,0.85,0,12.22,0,0,0,0.8,28.98,6021,National Commercial Banks,ME,www.bhbt.com
2005,BHB,Bar Harbor Bankshares,USD,0,0,445.73,747.95,0,18.33,0,56.1,14,4.43,0,0,15.34,3.64,3.06,0,7.29,0,0,0,44.3,0,108.36,0,2.58,2.58,0,2.58,14.19,15.65,0.15,2.03,0,76.73,3.16,0,0,28.27,0,164.46,0,3.43,0,0,-79.68,0,691.84,6.42,15.65,9.01,0,0,0,0,53.44,510.22,43.61,43.61,0,56.1,0,0,4.07,1.36,0,2.94,0,2.58,0,0,27.96,0,0.77,0,12.63,0,0,0,0.84,26.31,6021,National Commercial Banks,ME,www.bhbt.com
2006,BHB,Bar Harbor Bankshares,USD,0,0,496.32,824.88,0,20.04,0,61.05,19.55,5.55,0,0,24.58,3.64,3.05,0,7.29,0,0,0,29.5,0,85.47,0,2.76,2.76,0,2.76,14.66,16,0.16,2.2,0,68.19,3.16,0,0,28.44,0,146.52,0,3.36,0,0,-70.53,0,763.83,6.88,16,9.76,0,0,0,0,58.39,550.57,53.02,53.02,0,61.05,0,0,3.74,1.46,0,2.64,0,2.89,0,0,37.02,0,0.95,0,12.44,0,0,0,0.91,31.75,6021,National Commercial Banks,ME,www.bhbt.com
2007,BHB,Bar Harbor Bankshares,USD,0,0,539.12,889.47,0,21.97,0,65.97,7.73,-11.82,0,0,29.36,3.64,3,0,7.29,0,0,0,101,0,130.61,0,2.9,2.9,0,2.9,14.74,16.02,0.15,2.3,0,56.43,3.16,0,0,28.38,0,196.58,0,3.29,0,0,-76.42,0,823.5,7.16,16.02,10.18,0,0,0,0,64.41,574.97,57.74,57.74,0,65.97,0,0,2.9,2.06,0,2.71,0,3.02,0,0,41.72,0,0.62,0,12.36,0,0,0,0.96,31.4,6021,National Commercial Banks,ME,www.bhbt.com
2008,BHB,Bar Harbor Bankshares,USD,0,0,578.19,972.29,0,22.77,0,65.45,9.04,1.31,0,0,28.4,3.64,2.87,0,7.29,0,0,0,102.18,0,202.23,0,3,3,0,3,16.8,17.88,0.15,2.57,0,77.31,3.16,0,0,31.63,0,267.68,0,3.23,0,0.08,-86.92,0,906.84,7.73,17.88,11.12,0,0,0,0,67.38,628.16,60.03,60.03,0,65.45,0,0,4.19,1.81,0,3.43,0,3.38,0,0,42.15,0,0.66,0,13.75,0,0,0,1.02,25.75,6021,National Commercial Banks,ME,www.bhbt.com
2009,BHB,Bar Harbor Bankshares,USD,0,0,641.17,1072.38,0,25.78,0,95.16,9.83,0.79,12.38,0,24.29,4.44,3.69,0,8.89,0,0,0,67.49,0,219.74,0,3.78,2.99,1.03,4.03,20.81,21.8,0.17,3.12,0,86.26,3.16,0,0,36.1,0,333.25,0,3.16,0,0.85,-92.26,0,958.87,10.35,21.8,14.34,0,0,0,0,75.57,661.68,60.39,60.39,0,113.51,0,0,5.38,1.81,0,5.95,0,3.99,0,0,38.59,0,0.69,0,14.3,0,0,0,1.04,27.45,6021,National Commercial Banks,ME,www.bhbt.com
2010,BHB,Bar Harbor Bankshares,USD,0,0,708.33,1117.93,0,27.1,0,103.61,12.82,2.98,10.37,0,21.76,4.53,3.82,0,9.05,0,0,0,38.42,0,180.13,0,4.09,3.96,0.65,4.61,20.61,21.69,0.17,2.61,0,35.04,3.16,0,0,36.84,0,283.74,0,3.16,0,0.66,-45.8,0,1014.33,10.66,21.69,14.79,0,0,0,0,80.66,692.17,58.6,58.6,0,103.61,0,0,5.6,2.19,0,4.83,0,4.13,0,0,36.91,0,0.67,0,15.15,0,0,0,1.05,29.05,6021,National Commercial Banks,ME,www.bhbt.com
2011,BHB,Bar Harbor Bankshares,USD,0,0,722.89,1167.47,0,30.48,0,118.25,8.72,-4.1,17.78,0,18.91,4.53,3.88,0,9.05,0,0,0,84,0,144.47,0,4.23,4.23,0,4.23,21.62,22.8,0.17,2.85,0,31.59,3.16,0,0,38.79,0,262.72,0,3.16,0,4.09,-51.83,0,1049.22,11.04,22.8,15.51,0,0,0,0,93.22,720.78,57.7,57.7,0,118.25,0,0,5.89,5.48,0,5.09,0,4.46,0,0,34.9,0,0.54,0,15.99,0,0,0,1.1,29.98,6021,National Commercial Banks,ME,www.bhbt.com
2012,BHB,Bar Harbor Bankshares,USD,0,0,795.01,1302.94,0,32.66,0,128.05,14.99,6.27,13.14,0,15.52,4.53,3.92,0,9.05,0,0,0,90.8,0,147.49,0,4.57,4.57,0,4.57,24.21,25.54,0.18,3.18,0,77.55,4.94,0,0,43.03,0,275.54,0,4.94,0,2.78,-92.37,0,1174.89,12.47,25.54,17.41,0,0,0,0,101.6,806.91,58.55,58.55,0,128.05,0,0,6.53,6.09,0,4.32,0,4.94,0,0,33.01,0,0.49,0,17.49,0,0,0,1.17,33.65,6021,National Commercial Banks,ME,www.bhbt.com
2013,BHB,Bar Harbor Bankshares,USD,0,0,835.65,1373.89,0,30.81,0,121.38,9.2,-5.79,-2.45,0,13.08,4.53,3.94,0,9.05,0,0,0,82.9,0,96.5,0,4.92,4.92,0,4.92,24.44,26.03,0.19,3.34,0,73.29,4.94,0,0,45.23,0,217.88,0,4.94,0,1.63,-100.64,0,1252.51,13.18,26.03,18.37,0,0,0,0,94.21,844.38,58.32,58.32,0,121.38,0,0,10.4,1.79,0,4.51,0,5.19,0,0,32.28,0,0.58,0,19.2,0,0,0,1.25,39.99,6021,National Commercial Banks,ME,www.bhbt.com
2014,BHB,Bar Harbor Bankshares,USD,0,0,858.05,1459.32,0,24.6,0,146.29,9.8,0.6,29.24,0,11.74,6.79,5.95,0,13.58,0,0,0,92.1,0,133.5,0,5.36,5.36,0,5.36,26.87,28.59,0.22,2.45,0,55.22,4.94,0,0,49.74,0,279.79,0,5.5,0,0.52,-70.15,0,1313.03,14.61,28.59,20.53,0,0,0,0,119.84,910.06,61.48,61.48,0,146.29,0,0,6.25,5.59,0,6.24,0,5.91,0,0,32.88,0,0.62,0,21.15,0,0,0,0.9,32,6021,National Commercial Banks,ME,www.bhbt.com
2015,BHB,Bar Harbor Bankshares,USD,0,0,942.79,1580.06,0,25.65,0,154.15,9.72,-0.08,12.09,0,12.18,6.79,6.01,0,13.58,0,0,0,47.59,0,140.88,0,6.04,6.04,0,6.04,27.77,29.58,0.22,2.5,0,107.57,4.94,0,0,52.03,0,295.03,0,5.41,0,0.26,-127.98,0,1425.9,15.15,29.58,21.12,0,0,0,0,125.89,980.63,64.2,64.2,0,154.15,0,0,7.33,5.16,0,5.57,0,5.97,0,0,34.63,0,0.65,0,22.45,0,0,0,1.01,34.42,6021,National Commercial Banks,ME,www.bhbt.com
2016,BHB,Bar Harbor Bankshares,USD,0,0,1050.3,1755.35,0,25.79,0,156.74,8.44,-1.28,6.98,0,13.09,6.79,6.08,0,13.58,0,0,0,71.95,0,142.12,0,6.58,6.58,0,6.58,30.72,32.36,0.19,2.45,0,163.81,4.94,0,0,56.74,0,298.86,0,5.31,0,0.09,-181.89,0,1598.61,14.93,32.36,20.81,0,0,0,0,126.16,1118.65,69.84,69.84,0,156.74,0,0,8.43,2.44,0,6.29,0,5.88,0,0,37.48,0,0.67,0,24.39,0,0,0,1.09,47.33,6021,National Commercial Banks,ME,www.bhbt.com
2017,BHB,Bar Harbor Bankshares,USD,0,0,2352.09,3565.18,0,22.96,0,354.64,90.69,82.25,25.77,0,26.7,16.43,15.44,0,32.86,0,0,0,213.59,0,180.22,0,11.51,11.51,0,11.51,59.76,64.13,0.42,1.7,0,201.12,100.09,0,0,115.35,0,534.86,0,108.47,0,0.12,-159.01,0,3210.54,25.99,64.13,42.62,0,0,0,0,140.42,2473.29,142.05,142.05,0,354.64,0,0,13.15,5.97,0,9.08,0,16.63,0,0,77.92,0,1.33,0,51.22,0,0,0,0.75,27.01,6021,National Commercial Banks,ME,www.bhbt.com
2015,MCB,Metropolitan Bank Holding Corp,USD,0,0,766.04,964.79,0,24.53,0,75.95,65.65,19.99,4.16,0,7.28,3.1,3.1,0,0.03,0,0,0,97.43,0,116.77,0,0,0,0,0,12.37,13.06,0,0.54,0,201.62,9.73,0,0,29.91,0,192.72,0,9.73,0,0,-187.07,0,888.84,4.27,13.06,6.83,0,0,0,0,12.12,810.36,37.18,37.18,0,75.95,0,0,4.75,0.58,0,3.27,0,2.56,0,0,24.12,0,0.22,0,16.84,0,0,0,0,0,6021,National Commercial Banks,NY,www.metropolitanbankny.com
2016,MCB,Metropolitan Bank Holding Corp,USD,0,0,993.78,1220.3,0,23.78,0,109.49,82.93,17.28,4.83,0,14.15,4.61,4.61,0,0.05,0,0,0,120,0,33.03,0,3.42,0,3.42,3.42,13.65,14.43,0,0.2,0,236.39,9.73,0,0,35.43,0,142.52,0,9.73,0,0,-233.67,0,1110.81,5.01,14.43,8.06,0,0,0,0,13.33,1042.73,49.58,49.58,0,109.49,0,0,5.79,0.58,0,5.27,0,3.05,0,0,35.14,0,0.27,0,21,0,0,0,0,0,6021,National Commercial Banks,NY,www.metropolitanbankny.com
2017,MCB,Metropolitan Bank Holding Corp,USD,0,0,1404.36,1759.86,0,28.9,0,236.88,261.23,178.3,12.33,0,15.73,8.2,8.2,0,0.08,0,0,0,351.31,0,45.11,0,0,0,0,0,31.79,32.77,0.13,2.34,0,513.45,9.73,0,0,56.32,0,281.99,0,9.73,0,0,-366.62,0,1522.97,12.37,32.77,23.58,0,0,0,0,25.66,1405.01,72.05,72.05,0,236.88,0,0,5.17,0.73,0,8.79,0,11.21,0,0,39.28,0,0.33,0,23.55,0,0,0,0,42.1,6021,National Commercial Banks,NY,www.metropolitanbankny.com
2015,CBTX,CBTX Inc,USD,0,0,2483.37,2882.63,0,15.44,0,344.31,435.3,-55.85,23.79,0,14.6,22.97,22.3,0,0.23,0,0,0,31,0,37.73,0,4.49,4.49,0,4.49,48.47,53.42,0.48,0.99,0,-0.02,80.95,0,0,104.86,0,382.04,0,89.83,0,2.64,-88.66,0,2538.31,24.14,53.42,34.93,0,0,0,0,73.88,2066.69,119.47,119.47,0,344.31,-2.79,0,15.58,7.15,0,11.05,0,10.79,0,0,66.05,0,1.56,0,51.45,0,0,0,0,0,6021,National Commercial Banks,TX,www.communitybankoftx.com
2016,CBTX,CBTX Inc,USD,0,0,2540.76,2951.52,0,16.21,0,357.64,382.7,-52.8,24.87,0,12.98,22.97,22.06,0,0.23,0,0,0,0,0,29.98,0,4.4,4.4,0,4.4,52.51,56.93,0.48,1.11,0,42.73,80.95,0,1.45,111.27,0,387.61,0,88.74,0,1.69,-131.57,0,2593.89,27.21,56.93,39.22,0,0,0,0,94.35,2129.88,124.25,124.25,0,357.64,3.37,0,13.92,4.89,0,11.39,0,12.01,0,0,67.32,0,1.66,0,54.34,0,0,0,0,0,6021,National Commercial Banks,TX,www.communitybankoftx.com
2017,CBTX,CBTX Inc,USD,0,0,2602.97,3081.08,0,17.97,0,446.21,326.8,-55.9,28.1,0,8.55,25.73,24.83,0,0.26,0,0,0,0,0,6.73,0,4.41,4.56,0,4.56,59.61,64.04,0.46,1.22,0,93.94,80.95,0,0,121.76,0,452.94,0,87.72,0,2.17,-185.43,0,2634.87,27.57,64.04,44.02,0,0,0,0,117.96,2286.77,130.31,130.31,0,446.21,2.98,0,9.16,3.38,0,13.75,0,16.45,0,0,66.27,0,1.7,0,57.72,0,0,0,0.05,29.66,6021,National Commercial Banks,TX,www.communitybankoftx.com
2015,MBIN,Merchants Bancorp,USD,0,0,2039.52,2269.44,0,6.55,0,138.2,452.32,217.15,28.34,0,15.25,21.11,21.11,0,20.06,0,0,0,298.62,0,27.49,0,4.22,4.22,0,4.22,54.59,54.89,0,1.02,0,448.15,0.52,0,0,68.1,0,175.69,0,56.08,0,620.58,-349.33,0,2121.24,28.38,54.89,47.18,0,0,0,0,118.14,756.79,83.35,83.35,0,148.2,0,0,3.72,21.03,0,19.47,0,18.8,0,0,28.46,0,0.18,0,13.21,0,0,0,0,0,6021,National Commercial Banks,IN,www.merchantsbankofindiana.com
2016,MBIN,Merchants Bancorp,USD,0,0,2428.62,2718.51,0,7.8,0,164.71,451.09,-1.1,32.73,0,19.93,21.11,21.11,0,20.06,0,0,0,220,0,26.61,0,6.22,4.22,2,6.22,65.58,65.86,0,1.12,0,413.97,0.52,0,0,81.52,0,232.9,0,54.19,0,764.5,-265.3,0,2512.22,33.13,65.86,54.8,0,0,0,0,144.65,935.55,101.44,101.44,0,206.29,0,0,3.71,19.32,0,22.23,0,21.67,0,0,35.59,0,0.25,0,15.66,0,0,0,0,0,6021,National Commercial Banks,IN,www.merchantsbankofindiana.com
2017,MBIN,Merchants Bancorp,USD,0,0,2943.56,3393.13,0,11.36,0,325.89,366.56,-86.18,54.31,0,30.26,28.69,28.69,0,134.89,0,0,0,754.15,0,26.2,0,7.95,4.62,3.33,7.95,88.44,88.73,0.19,1.85,0,612.84,3.9,0,0,111.81,0,393.67,0,71.49,0,995.32,-523.14,0,3025.66,54.68,88.73,77.16,0,0,0,0,191,1366.35,142.07,142.07,0,367.47,0,0,3.25,16.19,0,27.05,0,22.48,0,0,53.34,0,0.29,0,23.07,0,0,0,0.05,19.68,6021,National Commercial Banks,IN,www.merchantsbankofindiana.com
2015,LBC,Luther Burbank Corporation,USD,0,0,3121.25,4362.89,0,8.84,0,371.3,65.56,-79.52,33.59,0,35.49,42,42,0,2.26,0,0,0,100,0,534.57,0,11.8,11.8,0,11.8,54,56.29,0,0.65,0,354.25,3.3,0,0,98.98,0,905.87,0,3.3,0,18.09,-446.89,0,3991.59,35.39,56.29,36.64,0,0,0,0,369.04,3809.99,134.47,134.47,0,371.3,0,0,2.6,1.28,0,0.85,0,1.25,0,0,78.18,0,0.86,0,42.68,0,0,0,0,0,6021,National Commercial Banks,CA,www.lutherburbanksavings.com
2016,LBC,Luther Burbank Corporation,USD,0,0,3333.97,5064.56,0,9.63,0,404.38,59.21,-6.35,49.88,0,36.82,42,42,0,2.26,0,0,0,100,0,634.54,0,16.8,16.8,0,16.8,68.28,71.15,0,0.96,0,639.5,3.3,0,0,115.18,0,1038.92,0,4.4,0,34.34,-673.39,0,4660.18,52.12,71.15,53.94,0,0,0,0,402.11,4407.1,152,152,0,404.38,0,0,2.38,1.47,0,0.99,0,1.82,0,0,80.85,0,0.86,0,44.03,0,0,0,0,0,6021,National Commercial Banks,CA,www.lutherburbanksavings.com
2017,LBC,Luther Burbank Corporation,USD,0,0,3951.24,5704.38,0,9.74,0,549.75,75.58,16.37,67.92,0,59.97,56.42,56.42,0,458.57,0,0,0,100,0,683.18,0,67.8,67.8,0,67.8,77.08,79.99,0.27,1.28,0,565.13,3.3,0,0,121.78,0,1232.92,0,7.55,0,0,-613.59,0,5154.64,69.38,79.99,65.23,0,0,0,0,91.18,5011.24,181.75,181.75,0,549.75,0,0,21.6,14.11,0,1.85,0,-4.15,0,0,101.76,0,0.85,0,41.79,0,0,0,0,12.04,6021,National Commercial Banks,CA,www.lutherburbanksavings.com
2016,BWB,Bridgewater Bancshares Inc,USD,0,0,1023.51,1260.39,0,4.69,0,115.37,21.2,2.93,9.01,0,11.76,24.59,24.59,0,0.25,0,0,0,20,0,58,0,0,0,0,0,26.84,27.53,0,0.45,0,254.09,2.63,0,0,41.44,0,173.37,0,4.06,0,4.18,-266.1,0,1145.03,13.22,27.53,21.27,0,0,0,0,49.34,985.14,53.2,53.2,0,115.37,0,0,0,0,0,10.1,0,8.05,0,0,25.67,0,0.56,0,13.91,0,0,0,0,0,6021,National Commercial Banks,MN,www.bridgewaterbankmn.com
2017,BWB,Bridgewater Bancshares Inc,USD,0,0,1339.35,1616.61,0,5.56,0,137.16,26.8,7.23,21.25,0,16.35,24.68,24.68,0,0.25,0,0,0,53.48,0,95.53,0,0,0,0,0,35.41,36.29,0.11,0.58,0,332.51,2.63,0,0,52.53,0,232.69,0,3.87,0,0.58,-350.18,0,1479.45,16.89,36.29,27.04,0,0,0,0,70.59,1326.51,68.88,68.88,0,137.16,0,0,0,0,0,12.11,0,10.15,0,0,32.59,0,0.55,0,16.24,0,0,0,0,0,6021,National Commercial Banks,MN,www.bridgewaterbankmn.com
2016,LEVL,Level One Bancorp Inc,USD,0,0,924.92,1127.53,0,15.21,0,96.57,19.12,3.08,10.27,0,9.76,6.35,6.35,0,58.31,0,0,0,0,0,29.29,0,0,0,0,0,26.53,28.21,0,1.46,0,86.61,9.39,0,0,49.55,0,125.86,0,10.29,0,10.12,-83.73,0,1030.96,11.05,28.21,17.15,0,0,0,0,38.27,942.3,59.31,59.31,0,96.57,0,0,5.55,2.31,0,1.2,0,6.1,0,0,31.11,0,0.41,0,21.35,0,0,0,0,0,6021,National Commercial Banks,MI,www.levelonebank.com
2017,LEVL,Level One Bancorp Inc,USD,0,0,1120.38,1301.29,0,16.78,0,107.96,63.66,44.55,10.18,0,9.49,6.44,6.44,0,59.51,0,0,0,315.51,0,26.36,0,0,0,0,0,25.25,26.85,0.24,1.3,0,161.25,9.39,0,0,52.62,0,134.32,0,10.05,0,5.2,-128.86,0,1193.33,9.84,26.85,16.56,0,0,0,0,48.45,1023.21,62.11,62.11,0,107.96,0,0,3.47,1.59,0,4.63,0,6.72,0,0,35.26,0,0.46,0,25.76,0,0,0,0,0,6021,National Commercial Banks,MI,www.levelonebank.com
2017,STXB,Spirit of Texas Bancshares Inc,USD,0,0,835.37,1030.3,0,13.62,0,99.14,58.19,-94.28,4.25,0,10.8,7.28,7.28,0,82.62,0,0,0,19.18,0,74.7,0,0,0,0,0,15.57,18.04,0.2,0.51,0,41.8,4.49,0,0,45.74,0,173.84,0,11.38,0,3.84,-149.93,0,931.16,4.75,18.04,8.34,0,0,0,0,16.52,863.47,56.55,56.55,0,99.14,0.5,0,2.28,0.8,0,2.5,0,3.59,0,0,38.51,0,0.74,0,27.7,0,0,0,0,0,6021,National Commercial Banks,TX,www.sotb.com
2016,OBNK,Origin Bancorp Inc,USD,0,0,3443.27,4071.46,0,18.21,0,354.84,259.88,-16.34,11.13,0,48.55,19.48,19.48,0,97.42,0,0,0,0,0,86.49,0,5.76,2.33,4.4,6.73,43.57,51.42,0,0.37,0,83.79,22.19,0,0,132.47,0,506.59,0,54.24,0,72.41,-154.5,0,3651.36,12.85,51.42,15.77,0,0,0,0,140.91,3061.54,181.02,181.02,0,420.09,0.04,0,31.01,17.52,0,7.09,0,2.92,0,0,129.6,0,0,0,81.05,0,0,0,0,0,6021,National Commercial Banks,LA,www.origin.bank
2017,OBNK,Origin Bancorp Inc,USD,0,0,3512.01,4154,0,18.19,0,355.09,187.19,-72.7,12.51,0,30.62,19.52,19.52,0,97.59,0,0,0,0,0,34.68,0,7,2.54,4.46,7,58.53,64.38,0.69,0.45,0,62.97,22.19,0,0,151.16,0,455.03,0,48.52,0,65.84,-196.32,0,3733.64,14.67,64.38,20.48,0,0,0,0,146.43,3203.95,181.78,181.78,0,420.35,4.41,0,17.69,8.66,0,5.27,0,5.81,0,0,117.4,0,0,0,86.78,0,0,0,0,0,6021,National Commercial Banks,LA,www.origin.bank
2016,AMAL,Amalgamated Bk New York N Y,USD,0,0,3009.46,4042.5,0,238.26,0,334.28,140.64,-105.88,11.15,0,30.86,1.4,1.4,0,14.03,0,0,0,0,0,604.23,0,0,0,0,0,44.36,48.69,0,0.38,0,219.82,0,0,0.3,127.29,0,945.34,0,0,0,3.52,-334.96,0,3701.39,10.54,48.69,10.7,0,0,0,0,90.22,2509.09,158.14,158.14,0,340.98,0,0,49.82,0,0,-0.75,0,0.14,0,0,109.45,0,5.41,0,78.6,0,0,0,0,0,6021,National Commercial Banks,NY,www.amalgamatedbank.com
2017,AMAL,Amalgamated Bk New York N Y,USD,0,0,3233.11,4041.16,0,240.37,0,337.23,116.46,-24.18,3.37,0,24.43,1.4,1.4,0,14.03,0,0,0,0,0,46.78,0,0.39,0.26,0.13,0.39,61.78,66.75,0.4,0.21,0,-13.01,0,0,0,142,0,390.84,0,0,0,6.09,-35.1,0,3697.09,6.09,66.75,19.72,0,0,0,0,93.18,2779.91,166.43,166.43,0,343.93,0,0,39.31,0,0,1.14,0,13.61,0,0,99.68,0,5.84,0,75.25,0,0,0,0,0,6021,National Commercial Banks,NY,www.amalgamatedbank.com
2016,CCB,Coastal Financial Corp,USD,0,0,648.66,740.61,0,6.48,0,59.9,86.98,1.64,4.01,0,4.44,9.24,9.24,0,52.22,0,0,0,9.93,0,13.51,0,0,0,0,0,13.09,13.99,0.14,0.44,0,113.21,0,0,0,28.67,0,73.41,0,0.59,0,1.3,-118.69,0,680.71,5,13.99,7.46,0,0,0,0,7.68,588.58,33.11,33.11,0,59.9,0,0,3.82,0.41,0,2.37,0,2.45,0,0,19.12,0,0.36,0,14.68,0,0,0,0,0,6021,National Commercial Banks,WA,www.coastalbank.com
2017,CCB,Coastal Financial Corp,USD,0,0,703.3,805.75,0,7.1,0,65.71,89.75,2.7,5.51,0,3.75,9.25,9.25,0,52.52,0,0,0,0,0,13.53,0,0,0,0,0,15.11,16.1,0.16,0.48,0,59.65,0,0,0,32.52,0,79.24,0,0.41,0,0,-64.57,0,740.04,5.44,16.1,10.09,0,0,0,0,13.19,648.77,36.27,36.27,0,65.71,0,0,2.45,0.36,0,3.82,0,4.65,0,0,20.17,0,0.4,0,16.42,0,0,0,0,0,6021,National Commercial Banks,WA,www.coastalbank.com
2016,MYFW,First Western Financial Inc,USD,0,0,753.9,916,0,12.74,0,95.93,62.69,-16.95,1.18,0,6.05,5.53,5.53,0,0,0,0,0,208.78,0,40.64,0,2.84,0,0,0,16.43,18.85,0,0.31,0,59.98,24.81,0,0,53.39,0,136.56,0,26.26,0,10.89,-96.04,0,820.07,2.3,18.85,3.57,0,0,0,0,-27.83,666.34,59.44,59.44,0,95.93,0,0,13.09,4.08,0,0.2,0,1.27,0,0,40.59,0,0.5,0,34.54,0,0,0,0,0,6021,National Commercial Banks,CO,www.myfw.com
2017,MYFW,First Western Financial Inc,USD,0,0,816.12,969.66,0,13.18,0,101.85,9.5,-53.18,1.89,0,6.55,5.83,5.83,0,0,0,0,0,339.53,0,23.44,0,2.29,0,0,0,16.68,19.13,0.26,0.27,0,54.3,24.81,0,0,53.68,0,125.28,0,26.04,0,23.6,-102.05,0,867.81,2.02,19.13,5.01,0,0,0,0,-28.22,806.4,60.23,60.23,0,101.85,0,0,8.71,2.73,0,0.28,0,2.98,0,0,41.1,0,0.6,0,34.55,0,0,0,0,0,6021,National Commercial Banks,CO,www.myfw.com
